JSON_file,title,author,title_verified,author_verified,isbn
pg_3995.json,SYLVIA PLATH: METHOD AND MADNESS,"Butscher, Edward","Sylvia Plath, method and madness",Edward Butscher,9780971059825
pg_1812.json,Publighor,,Publighor,,ISBN Not Found
pg_1629.json,BRAHMS ORCHESTRAL MUSIC,"Horton, John",Brahms orchestral music,"Horton, John",9780563073055
pg_1925.json,THE EDUCATION OF CHILDREN,Regnery/Gateway Daedalus,THE EDUCATION OF CHILDREN,Regnery/Gateway Daedalus,0805847219
pg_3204.json,Brit phi,Bobbs Merrill,Brit phi,Bobbs Merrill,ISBN Not Found
pg_1821.json,GREAT AMERICAN ILLUSTRATORS,"Reed, Walt",Great American illustrators,Walt Reed,0896590755
pg_1638.json,,"Brown, J",,Brown,ISBN Not Found
pg_1934.json,- Discus,"Freud, Sigmond",- Discus,Sigmond,0876667612
pg_3213.json,TOW TREATISES ON GOVERNMENT,"Locke, John",TOW TREATISES ON GOVERNMENT,Locke,ISBN Not Found
pg_1830.json,KING REVE'S BOOK OF LOVE,,KING REVE'S BOOK OF LOVE,,ISBN Not Found
pg_1647.json,A TOUCH OF INNOCENCE,"Dunham, Katherine",A touch of innocence,Katherine Dunham,0226171124
pg_1943.json,THE ANATOMY OF HUMAN DESTRUCTIVENESS,"Fromm, Erich",The Anatomy of Human Destructiveness,Erich Fromm,9783499170522
pg_1839.json,Rien Poortvliet,,Rien Poortvliet,,3490435117
pg_3333.json,ON THE CHRISTIAN FAITH,BOBES MERRILL,ON THE CHRISTIAN FAITH,BOBES MERRILL,ISBN Not Found
pg_3231.json,FABIAN ESSAYS IN SOCILAISM,Peter Smith,FABIAN ESSAYS IN SOCILAISM,Peter Smith,ISBN Not Found
pg_1848.json,AMULETS & SUPERSTITIONS,"Budge, Wallis",Amulets and superstitions,Ernest Alfred Wallis Budge,076615789X
pg_1664.json,THEORIES OF MODERN ART,"Chipp, Herschel",Theories of modern art,Herschel Browning Chipp,0520052560
pg_1961.json,THE PORTABLE JUNG,"Campbell, J., ed.",THE PORTABLE JUNG,Campbell,9780140150704
pg_3240.json,IN THE BEGINNING,Concord Grove,IN THE BEGINNING,Concord Grove,9781093945744
pg_1857.json,THE GODS OF THE EGYPTIANS,Anct. Egypt,THE GODS OF THE EGYPTIANS,Anct. Egypt,9780486220567
pg_1674.json,of art,"Praz, Mario",An Illustrated History of Interior Decoration from Pompeii to Art Nouveau,Mario Praz,9780500233580
pg_3353.json,LITTLE FLOWERS OF ST FRANCIS,"Brown, Raphael",The little flowers of St. Francis,Raphael Brown,9781102344209
pg_1970.json,THE MAN & HIS IDEAS,Kramer,The Man Who Planted Seeds,Kim Kramer,9780557278596
